2025-02-19 14:19:48,254 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in A1Y_EVT3_URDF_20240210.stp-1
2025-02-19 14:19:48,254 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from A1Y_EVT3_URDF_20240210
2025-02-19 14:19:48,254 INFO  ExportHelperExtension.cs: 1136 - Found 47 in A1Y_EVT3_URDF_20240210
2025-02-19 14:19:48,255 INFO  ExportHelperExtension.cs: 1145 - Found 9 features of type [RefAxis] in A1Y_EVT3_URDF_20240210
2025-02-19 14:19:48,255 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-02-19 14:19:48,255 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2025-02-19 14:19:48,256 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from A1Y_EVT3_URDF_20240210.stp-1
2025-02-19 14:19:48,256 INFO  ExportHelperExtension.cs: 1136 - Found 16 in A1Y_EVT3_URDF_20240210.stp-1
2025-02-19 14:19:48,256 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in A1Y_EVT3_URDF_20240210.stp-1
2025-02-19 14:19:48,309 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2025-02-19 14:20:56,453 INFO  AssemblyExportForm.cs: 253 - Completing URDF export
2025-02-19 14:20:56,465 INFO  ConfigurationSerialization.cs: 276 - URDF Configuration found
